C0546031	Hypothalamus, internal mammillary nucleus
C0546032	Dorsal nucleus of hypothalamus
C0546033	Perifornical nucleus
C0175312	Structure of lateral preoptic nucleus
C0175313	Structure of medial preoptic nucleus
C0175314	Structure of preoptic periventricular nucleus
C0228367	Magnocellular hypothalamic nuclei
C0032005	Pituitary Gland
C0458371	Hypothalamic nucleus
C0086527	Lateral Hypothalamic Nucleus
C0228365	Structure of terminal stria nuclei of preoptic region
C0228367	Magnocellular hypothalamic nuclei
C0228381	Structure of nucleus intercalatus of hypothalamus
C0228382	Structure of transverse peduncular tract nucleus
C0228384	Medial hypothalamic nucleus
C1761563	Entire lateral hypothalamic nucleus
C1305759	Entire mammillary body
C1268164	Hypothalamus part
C0020671	Supraoptic Hypothalamus
C0032005	Pituitary Gland
C0033063	Preoptic Areas
C0041283	Cinereum, Tuber
C0086527	Lateral Hypothalamic Nucleus
C0175325	Structure of infundibular stem of neurohypophysis
C0228363	Structure of posterior perforated substance of hypothalamus
C0228364	Structure of fornix of hypothalamus
C0228368	Structure of supraoptic hypophyseal tract
C0228369	Structure of tuberoinfundibular tract of hypothalamus
C0228370	Structure of hypothalamicohypophyseal tract
C0228371	Periventricular gray matter of hypothalamus
C0228374	Caudal area of hypothalamus
C0228379	Structure of supramammillary decussation
C0228381	Structure of nucleus intercalatus of hypothalamus
C0228382	Structure of transverse peduncular tract nucleus
C0228384	Medial hypothalamic nucleus
C0228387	Structure of diencephalic periventricular fibers
C0228388	Structure of hypothalamicothalamic tract
C0458371	Hypothalamic nucleus
C1283310	Hypothalamic tract
C0025055	Structure of median forebrain bundle
C0228368	Structure of supraoptic hypophyseal tract
C0228369	Structure of tuberoinfundibular tract of hypothalamus
C0228370	Structure of hypothalamicohypophyseal tract
C0228375	Structure of mammillothalamic tract of hypothalamus
C0228376	Structure of mammillotegmental tract of hypothalamus
C0228379	Structure of supramammillary decussation
C0228386	Structure of diencephalic portion of dorsal longitudinal fasciculus
C0228388	Structure of hypothalamicothalamic tract
C1289581	Entire diencephalic periventricular fibers
C1283311	Region of hypothalamus
C0020671	Supraoptic Hypothalamus
C0033063	Preoptic Areas
C0228371	Periventricular gray matter of hypothalamus
C0228373	Paramammillary gray matter
C0228374	Caudal area of hypothalamus
C1280712	Entire hypothalamus
C1283310	Hypothalamic tract
C1283311	Region of hypothalamus
