"brainregion","disease","count"
"Structure of optic radiation","Spinal Cord Diseases","2"
"Inferior cerebellar peduncle","DISORDERS OF THE OPTIC NERVE","2"
"Cerebellum","Norrie disease","2"
"Nucleus Raphe Obscurus","Pancreatic Diseases","2"
"Corpus callosum splenium","Disease Progression","2"
"Neocortex","Cat-Scratch Disease","2"
"Anterodorsal nucleus of thalamus","Lafora Disease","2"
"Nucleus of Diagonal Band","Williams Syndrome","2"
"sensory cortex","Spinal Cord Diseases","2"
"Preoptic Areas","Herpes zoster disease","2"
"Parolfactory area structure (body structure)","Shy-Drager Syndrome","2"
"Genus Hippocampus","Behcet Syndrome","2"
"Cerebral cortex","Fabry Disease","2"
"Neocortex","Autoimmune Diseases","2"
"Brain Stem","Corneal Diseases","2"
"Fifth ventricle","Depressive disorder","2"
"Cerebellum","Hashimoto Disease","2"
"Basal Ganglia","Borderline Personality Disorder","2"
"BRAIN, HIPPOCAMPUS","Creutzfeldt-Jakob Disease, Sporadic","2"
"Anterodorsal nucleus of thalamus","CNS disorder","2"
"Internal capsule of brain","Sensitization (disorder)","2"
"Brain Stem","Nystagmus associated with disorder of the vestibular system","2"
"Orbitofrontal cortex","Temporomandibular Joint Disorders","2"
"Caudate nucleus structure","Williams Syndrome","2"
"Dorsal Septal Nucleus","Autistic Disorder","2"
"Interpeduncular nucleus","Stereotypic Movement Disorder","2"
"Nucleus Accumbens","Van der Woude syndrome","2"
"Brodmann area","cortex bone disorders","2"
"Midbrain structure","Diseases of inner ear","2"
"Nucleus solitarius","Syndrome, Bloch-Sulzberger","2"
"Structure of nucleus infundibularis hypothalami","Spinal Cord Diseases","2"
"Basal Ganglia","Autism Spectrum Disorders","2"
"Cerebral hemisphere structure (body structure)","Chronic disease","2"
"Ventral Tegmental Area","Cat-Scratch Disease","2"
"Genus Hippocampus","Herpes zoster disease","2"
"Cerebral white matter structure","Parkinson Disease","2"
"Entire hippocampus","Functional disorder","2"
"Dorsal Nucleus Raphe","Recurrent disease","2"
"Genus Hippocampus","Idiopathic Hypereosinophilic Syndrome","2"
"Brodmann area 9","Parkinson Disease","2"
"Medial Septal Nucleus","Williams Syndrome","2"
"Structure of locus ceruleus","Acute infectious disease","2"
"Cortex, Primary Motor","Gilles de la Tourette syndrome","2"
"BRAIN, HIPPOCAMPUS","Dyskinetic syndrome","2"
"Olfactory Cortex","DISORDERS OF THE OPTIC NERVE","2"
"Cerebral cortex","Prion Diseases","2"
"Nucleus Accumbens","Syndrome","2"
"Central Dorsal Nucleus","Peripheral Arterial Diseases","2"
"Nucleus solitarius","Renal glomerular disease","2"
"Structure of occipital pole","Alstrom Syndrome","2"
"Nucleus Accumbens","Neurotoxicity Syndromes","2"
"Mammillary body structure","Mood Disorders","2"
"Right hippocampus","Post-Traumatic Stress Disorder","2"
"Corpus callosum splenium","Bipolar Disorder","2"
"Left supramarginal gyrus","Psychotic Disorders","2"
"BRAIN, HIPPOCAMPUS","Seasonal Affective Disorder","2"
"Limbic lobe","Spinal Cord Diseases","2"
"Corpus callosum splenium","Parkinson Disease","2"
"Prefrontal Cortex","Mild cognitive disorder","2"
"Corpus Callosum","Timothy syndrome","2"
"Brodmann area 18","Severe Acute Respiratory Syndrome","2"
"Thalamic Nuclei","Retinal Diseases","2"
"Motor Cortex","motor disorder","2"
"Neostriatum","Lesch-Nyhan Syndrome","2"
"Lateral occipitotemporal gyrus","Pervasive Development Disorder","2"
"Midbrain and pons","cortex bone disorders","2"
"Set of basolateral nuclei of amygdala","Pituitary Diseases","2"
"Brain Stem","Down Syndrome","2"
"Structure of dentate gyrus","Syndrome","2"
"Cerebral Peduncle","Down Syndrome","2"
"Pretectal region","Pituitary Diseases","2"
"Pontine structure","Retinal Diseases","2"
"Structure of longitudinal cerebral fissure","Functional disorder","2"
"Lamina Terminalis","cortex bone disorders","2"
"Limbic System","Rabies (disorder)","2"
"Pituitary Gland","Melkersson-Rosenthal Syndrome","2"
"Cerebral Ventricles","Functional disorder","2"
"Hypothalamic structure","Post-Traumatic Stress Disorder","2"
"Inferior parietal lobule","Mild cognitive disorder","2"
"BRAIN, HIPPOCAMPUS","Behavior Disorders","2"
"Pituitary Gland, Anterior","Spinal Cord Diseases","2"
"Basal Nucleus of Meynert","neuropathology disease","2"
"Tectum Mesencephali","Gilles de la Tourette syndrome","2"
"Structure of Broca's area","cortex bone disorders","2"
"Structure of lateral vestibular nucleus","cortex bone disorders","2"
"Structure of subiculum hippocampi","Recurrent disease","2"
"Medulla Oblongata","Lesch-Nyhan Syndrome","2"
"Structure of subthalamic nucleus","Recurrent disease","2"
"lateral amygdalar nucleus","Retinal Diseases","2"
"Genus Hippocampus","Rasmussen Syndrome","2"
"Cerebral hemisphere structure (body structure)","Sensitization (disorder)","2"
"Pyramidal Cells","Triglyceride storage disease with ichthyosis","2"
"Metencephalon","Obsessive-Compulsive Disorder","2"
"Cerebral cortex","Turner Syndrome","2"
"Gigantocellular nucleus","Functional disorder","2"
"Substantia innominata","Parkinson Disease","2"
"Darkshevitch nucleus","cortex bone disorders","2"
"Nucleus Accumbens","Sequela of disorder","2"
"Cerebral cortex","Zellweger Syndrome","2"
"Midbrain and pons","Parkinson Disease","2"
"Brain White Matter","Neurodegenerative Disorders","2"
"Substantia nigra structure","Stereotypic Movement Disorder","2"
"Pedunculopontine Tegmental Nucleus","Migraine Disorders","2"
"Structure of nucleus infundibularis hypothalami","Aarskog syndrome","2"
"Structure of hippocampal fissure","Disease Progression","2"
"Thalamic structure","Macrophage Activation Syndrome","2"
"Neostriatum","Testicular Diseases","2"
"Medial Septal Nucleus","Bloom Syndrome","2"
"Caudate nucleus structure","Camurati-Engelmann Syndrome","2"
"Habenula","Muckle-Wells Syndrome","2"
"Right superior longitudinal fasciculus","Psychotic Disorders","2"
"Marginal Sulcus","Premenstrual syndrome","2"
"Prefrontal Cortex","Nail-Patella Syndrome","2"
"Pyramidal Cells","Mohr-Tranebjaerg syndrome","2"
"Prosencephalon","Melkersson-Rosenthal Syndrome","2"
"BRAIN, HIPPOCAMPUS","motor disorder","2"
"Entire cerebral white matter","neuropathology disease","2"
"Structure of forceps minor","Melkersson-Rosenthal Syndrome","2"
"Nucleus solitarius","Oropharyngeal disorders","2"
"Structure of paraventricular nucleus","Down Syndrome","2"
"Cortex, Primary Motor","Fetal Alcohol Syndrome","2"
"central amygdalar nucleus","Disorders, Mental","2"
"Medulla Oblongata","Uterine Diseases","2"
"Brain Stem","Occlusion of artery (disorder)","2"
"Midbrain and pons","Disease Progression","2"
"Right cerebral hemisphere","cortex bone disorders","2"
"Superior colliculus of corpora quadrigemina","Opitz-Frias syndrome","2"
"Structure of internal carotid nerve","Disorder of pineal gland","2"
"Anterodorsal nucleus of thalamus","CADASIL Syndrome","2"
"CA2 field","Rett Syndrome","2"
"Structure of entorhinal cortex","Congenital secretory diarrhea, sodium type (disorder)","2"
"Brain Stem","Neurodevelopmental disorder","2"
"BRAIN, HIPPOCAMPUS","Chronic disease","2"
"Entire hippocampus","Bipolar Disorder","2"
"Tegmentum Mesencephali","Sturge-Weber Syndrome","2"
"Medulla Oblongata","DISORDERS OF THE OPTIC NERVE","2"
"Pulvinar structure","Leigh Disease","2"
"Cerebral cortex","Menkes Kinky Hair Syndrome","2"
"Cerebral cortex","Dysequilibrium syndrome","2"
"Amygdaloid structure","Congenital secretory diarrhea, sodium type (disorder)","2"
"Anteroventral Periventricular Nucleus","Pituitary Diseases","2"
"Cerebellum","Thoracic Outlet Syndrome","2"
"Midbrain structure","Dyskinetic syndrome","2"
"Auditory area","Lung Diseases, Interstitial","2"
"Tegmentum Mesencephali","Pituitary Diseases","2"
"Parietal Lobe","Ataxia as late effect of cerebrovascular disease","2"
"Cerebral Peduncle","Neurodegenerative Disorders","2"
"Parahippocampal Gyrus","Spinal Cord Diseases","2"
"Lobe, Frontal","Colonic Diseases","2"
"Papez circuit","Mesulam Syndrome","2"
"Medial Dorsal Nucleus","Depressive disorder","2"
"Auditory Hair Cell","Spinal Cord Diseases","2"
"Thalamic structure","Creutzfeldt-Jakob Disease, Sporadic","2"
"Structure of locus ceruleus","Liver diseases","2"
"Thalamic structure","Irritable Bowel Syndrome","2"
"Nucleus of anterior commissure","Retinal Diseases","2"
"Anterodorsal nucleus of thalamus","Disorders, Mental","2"
"Cerebral hemisphere structure (body structure)","Autoimmune Diseases","2"
"Brodmann area 35","Functional disorder","2"
"Interpeduncular nucleus","Neurodegenerative Disorders","2"
"Purkinje Cells","Lysosomal Storage Diseases","2"
"Substantia nigra structure","Oculorespiratory syndrome","2"
"Gigantocellular nucleus","Colonic Diseases","2"
"Genus Hippocampus","Prediabetes syndrome","2"
"Anterior insula","Recurrent disease","2"
"Genus Hippocampus","Androgen-Insensitivity Syndrome","2"
"Neocortex","Post-Traumatic Stress Disorder","2"
"Nucleus Globosus","Rabies (disorder)","2"
"Lateral habenular nucleus","Major Depressive Disorder","2"
"Structure of olfactory bulb","Parkinsonian Disorders","2"
"Parolfactory area structure (body structure)","Spinal Cord Diseases","2"
"Pituitary Gland, Anterior","Liver diseases","2"
"Lateral posterior nucleus of thalamus","Retinal Diseases","2"
"Trigeminal Nuclei","Corneal Diseases","2"
"Limbic lobe","Disease Progression","2"
"Dorsal Septal Nucleus","Fragile X Syndrome","2"
"Cerebral Ventricles","Sequela of disorder","2"
"Claustral structure","Alzheimer's Disease","2"
"Cerebral cortex","Shprintzen syndrome","2"
"Right uncinate fasciculus","Depressive disorder","2"
"Nucleus Accumbens","Hypertensive disease","2"
"BRAIN, HIPPOCAMPUS","Arteriopathic disease","2"
"Stria medullaris","Depressive disorder","2"
"Midbrain structure","Autistic Disorder","2"
"Thalamic structure","McCune-Albright Syndrome","2"
"BRAIN, HIPPOCAMPUS","Sexually Transmitted Diseases","2"
"Posterior Hypothalamic Region","cortex bone disorders","2"
"Median eminence of hypothalamus","Zellweger Syndrome","2"
"Structure of centrum semiovale","Spinal Cord Diseases","2"
"CA1 field","Sexually Transmitted Diseases","2"
"Entire olivary body","Spinal Cord Diseases","2"
"Reticular activating system","Neurodegenerative Disorders","2"
"Entire medulla oblongata","Nijmegen Breakage Syndrome","2"
"Central insular sulcus","Androgen-Insensitivity Syndrome","2"
"Anterodorsal nucleus of thalamus","DISORDERS OF THE OPTIC NERVE","2"
"Structure of dentate gyrus","Cognition Disorders","2"
"Telencephalon","Disorder nervous system","2"
"Structure of subthalamic nucleus","Neurotoxicity Syndromes","2"
"Entire Brodmann area 9, granular frontal","Parkinson Disease","2"
"Marginal Sulcus","Williams Syndrome","2"
"Interpeduncular nucleus","Herpes zoster disease","2"
"Pyramidal Cells","Lysosomal Storage Diseases","2"
"Commissural nucleus of vagus nerve","Pituitary Diseases","2"
"Cerebellum","Idiopathic Hypereosinophilic Syndrome","2"
"BRAIN, HIPPOCAMPUS","Aarskog syndrome","2"
"Cerebellum","Freeman-Sheldon syndrome","2"
"Midbrain structure","Bloom Syndrome","2"
"Prefrontal Cortex","Behavior Disorders","2"
"Fornix, Brain","Bipolar I disorder","2"
"Cochlear outer hair cell","Functional disorder","2"
"Prosencephalon","Brain Diseases","2"
"Lateral Septal Nucleus","Spinal Cord Diseases","2"
"Nucleus, Anterior Olfactory","Alzheimer's Disease","2"
"Structure of angular gyrus","Dystonia Disorders","2"
"Inferior olivary nucleus","Parkinsonian Disorders","2"
"Brodmann area 35","Dementia due to Alzheimer's disease (disorder)","2"
"Cerebral hemisphere structure (body structure)","Hamartoma Syndrome, Multiple","2"
"Entire zona incerta","cortex bone disorders","2"
"Cerebral hemisphere structure (body structure)","Pervasive Development Disorder","2"
"Tuberomammillary Nucleus","Sturge-Weber Syndrome","2"
"Prosencephalon","Gardner Syndrome","2"
"Cerebellum","Herpes zoster disease","2"
"Cerebral Peduncle","Disorder nervous system","2"
"Left amygdala","Post-Traumatic Stress Disorder","2"
"Amygdaloid structure","Psychotic Disorders","2"
"Left temporal lobe structure","cortex bone disorders","2"
"Central gray substance of midbrain","Syndrome","2"
"Neostriatum","Skin endocrine disorder","2"
"Gigantocellular nucleus","Depressive disorder","2"
"Cerebral cortex","Griscelli syndrome type 2","2"
"Central gray substance of midbrain","Sudden infant death syndrome","2"
"Brodmann area 21","Myeloproliferative Syndrome, Transient","2"
"Lateral occipital cortex, superior division (OLs)","DISORDERS OF THE OPTIC NERVE","2"
"External capsule","DISORDERS OF THE OPTIC NERVE","2"
"Amygdaloid structure","Virus Diseases","2"
"Neocortex","Creutzfeldt-Jakob disease","2"
"Prefrontal Cortex","other psychiatric disorders","2"
"Cerebral hemisphere structure (body structure)","Pelizaeus-Merzbacher Disease","2"
"Cerebral hemisphere structure (body structure)","Disease of thymus gland","2"
"Left putamen","Recurrent disease","2"
"Cerebral hemisphere structure (body structure)","Bipolar Disorder","2"
"sensory cortex","Depressive disorder","2"
"Pars Compacta","Lesch-Nyhan Syndrome","2"
"Posterior cerebral commissure","Ataxia as late effect of cerebrovascular disease","2"
"Cerebral cortex","Occlusion of artery (disorder)","2"
"Entire cerebellum","Functional disorder","2"
"Genus Hippocampus","Congenital infectious disease","2"
"Tuberomammillary Nucleus","Shy-Drager Syndrome","2"
"CA1 field","Post-Traumatic Stress Disorder","2"
"Central Dorsal Nucleus","Liver diseases","2"
"Cerebellum","Bloom Syndrome","2"
"Medial Septal Nucleus","Parkinsonian Disorders","2"
"Purkinje Cells","Migraine Disorders","2"
"Inferior Colliculus","Rabies (disorder)","2"
"Nucleus Basalis Magnocellularis","Conjunctival Diseases","2"
"Central Lateral Nucleus","cortex bone disorders","2"
"Structure of anterior commissure","Retinal Diseases","2"
"Barrington's Nucleus","Functional disorder","2"
"Midline Thalamic Nuclei","Spinal Cord Diseases","2"
"Pedunculopontine Tegmental Nucleus","Disorders, Mental","2"
"Respiratory Center","Sudden infant death syndrome","2"
"Pyramidal Cells","Renal tubular disorder","2"
"Parietal Lobe","Cognition Disorders","2"
"Pineal gland","Disorder nervous system","2"
"Genus Hippocampus","Borna Disease","2"
"Amygdaloid structure","Fetal Alcohol Spectrum Disorders","2"
"Red nucleus structure","Alzheimer's Disease","2"
"Rostral interstitial nucleus of medial longitudinal fasciculus","Spinal Cord Diseases","2"
"Structure of supramammillary nucleus","Depressive disorder","2"
"Flocculonodular lobe","Spinal Cord Diseases","2"
"Auditory Hair Cell","Auditory neuropathy spectrum disorder","2"
"Lateral Dorsal Nucleus","Pituitary Diseases","2"
"Olfactory Pathways","Cyclical vomiting syndrome (disorder)","2"
"Cerebrum","Depressive disorder","2"
"CA3 field","neuropathology disease","2"
"Anterodorsal nucleus of thalamus","Brain Diseases","2"
"Neocortex","Neurotoxicity Syndromes","2"
"Inferior Colliculus","Virus Diseases","2"
"Structure of choroid plexus","Meningeal disorder","2"
"Structure of rubrospinal tract","Autistic Disorder","2"
"Structure of dentate gyrus","Drug effect disorder","2"
"Structure of thalamic reticular nucleus","Feline urological syndrome","2"
"intercalated amygdalar nuclei","Immunoglobulin A deficiency (disorder)","2"
"Preoptic Areas","Gilles de la Tourette syndrome","2"
"Allocortex","Spinal Cord Diseases","2"
"Purkinje Cells","Parkinson Disease","2"
"Structure of supramammillary nucleus","Migraine Disorders","2"
"Inferior Colliculus","Bloom Syndrome","2"
"CA2 field","Chromosome 11p11.2 Deletion Syndrome","2"
"Amygdaloid structure","Memory Disorders","2"
"Substantia nigra structure","Lesch-Nyhan Syndrome","2"
"Genus Hippocampus","Sleep Apnea Syndromes","2"
"Basal Forebrain","Sequela of disorder","2"
"Brodmann area 19","Alzheimer's Disease","2"
"Caudate nucleus structure","Recurrent disease","2"
"CA3 field","Major Depressive Disorder","2"
"Metencephalon","Niemann-Pick Disease, Type C","2"
"Dentatothalamic tract","cortex bone disorders","2"
"Parietal Lobe","Huntington Disease","2"
"BRAIN, HIPPOCAMPUS","Russell-Silver syndrome","2"
"Pyramidal Cells","Recurrent disease","2"
"CA2 field","Leigh Disease","2"
"Hindbrain","Disorders, Mental","2"
"Corpus Callosum","Disorder nervous system","2"
"Epithalamic structure","Depressive disorder","2"
"Neocortex","Congenital secretory diarrhea, sodium type (disorder)","2"
"Lobe, Frontal","Nail-Patella Syndrome","2"
"Structure of paraventricular nucleus","Prune Belly Syndrome","2"
"Midbrain structure","Urethral Diseases","2"
"Visual Cortex","Pervasive Development Disorder","2"
"Lateral superior olivary nucleus","cortex bone disorders","2"
"Structure of lateral olfactory gyrus","McCune-Albright Syndrome","2"
"Cerebral cortex","Sensorineural hearing loss (disorder)","2"
"Entire thalamic reticular nucleus","Mood Disorders","2"
"Entire medulla oblongata","Neurotoxicity Syndromes","2"
"Structure of superior cerebellar peduncle","cortex bone disorders","2"
"Brodmann area 22","Autistic Disorder","2"
"Internal capsule posterior limb structure","Functional disorder","2"
"Tegmentum Mesencephali","DISORDERS OF THE OPTIC NERVE","2"
"Brain Stem","Griscelli syndrome type 2","2"
"Neocortex","Pituitary Diseases","2"
"Structure of hippocampal fissure","Disorder nervous system","2"
"Hypothalamic Area, Lateral","Metabolic Syndrome X","2"
"Structure of suprageniculate nucleus","Functional disorder","2"
"Insula of Reil","Depressive disorder","2"
"Midbrain structure","Stiff-Person Syndrome","2"
"Nucleus of anterior commissure","Recurrent disease","2"
"BRAIN, HIPPOCAMPUS","DiGeorge Syndrome","2"
"sensory cortex","Syndrome, Bloch-Sulzberger","2"
"Brain Stem","Hypopigmentation disorder","2"
"Basal Ganglia","Bipolar Disorder","2"
"Entire medulla oblongata","Lateral Medullary Syndrome","2"
"CA1 field","Kartagener Syndrome","2"
"Entire choroid plexus","Meningeal disorder","2"
"Preoptic Areas","Renal glomerular disease","2"
"Cerebellar cortex structure","Hamartoma Syndrome, Multiple","2"
"Caudate nucleus structure","Peripheral Arterial Diseases","2"
"Neocortex","Developmental reading disorder","2"
"Central gray substance of midbrain","Renal glomerular disease","2"
"Nuclei, Raphe","Liver diseases","2"
"Cerebellar cortex structure","Parkinson Disease","2"
"Anterodorsal nucleus of thalamus","Movement Disorders","2"
"Hypothalamic structure","Binge eating disorder","2"
"Substantia nigra structure","Disorders, Mental","2"
"Structure of medial globus pallidus","Tic disorder","2"
"Pontine structure","Papillon-Lefevre Disease","2"
"Somatosensory Cortex","Peripheral Arterial Diseases","2"
"Medulla Oblongata","Tarsal carpal coalition syndrome","2"
"Medulla Oblongata","Cardiovascular Diseases","2"
"Structure of locus ceruleus","Shy-Drager Syndrome","2"
"Structure of entorhinal cortex","Mild cognitive disorder","2"
"Cerebellum","Cockayne Syndrome, Type I","2"
"Allocortex","Huntington Disease","2"
"Cerebellar cortex structure","Disease Progression","2"
"Corpus striatum structure","Skin endocrine disorder","2"
"Lobe, Frontal","Van der Woude syndrome","2"
"Structure of middle cerebellar peduncle","cortex bone disorders","2"
"Nucleus Raphe Obscurus","Lewy Body Disease","2"
"Cerebral cortex","Swine Vesicular Disease","2"
"Cerebral hemisphere structure (body structure)","Irritable Bowel Syndrome","2"
"Paracentral Thalamic Nucleus","Machado-Joseph Disease","2"
"Olfactory Cortex","Spinal Cord Diseases","2"
"Entire thalamic reticular nucleus","Neurodevelopmental disorder","2"
"Nuclei, Raphe","Shy-Drager Syndrome","2"
"Anterodorsal nucleus of thalamus","Melkersson-Rosenthal Syndrome","2"
"Nucleus of Ansa Lenticularis","Neuromuscular Diseases","2"
"Olivary Nucleus","cortex bone disorders","2"
"Cerebellum","Behavior Disorders","2"
"Midbrain structure","Renal glomerular disease","2"
"Structure of Broca's area","Functional disorder","2"
"Genus Hippocampus","Prion Diseases","2"
"Superior colliculus of corpora quadrigemina","Fragile X Syndrome","2"
"Globus Pallidus","Stress Disorders, Traumatic","2"
"Right superior temporal gyrus","Psychotic Disorders","2"
"Internal arcuate tract","Immunoglobulin A deficiency (disorder)","2"
"Brodmann area 28","cortex bone disorders","2"
"Olfactory Cortex","Autistic Disorder","2"
"Prosencephalon","Recurrent disease","2"
"CA1 field","Hashimoto Disease","2"
"Basal Forebrain","Christ-Siemens-Touraine syndrome","2"
"Substantia nigra structure","Pervasive Development Disorder","2"
"Entire internal capsule of brain","Syndrome","2"
"Structure of lateral olfactory gyrus","Saethre-Chotzen Syndrome","2"
"Substantia Nigra Pars Reticulata","Chromosome 11p11.2 Deletion Syndrome","2"
"Cerebellum","Ovarian Diseases","2"
"Structure of hippocampal fissure","Neurotoxicity Syndromes","2"
"Structure of entorhinal cortex","Cat-Scratch Disease","2"
"Diffuse reticular nucleus","Lung diseases","2"
"Medulla Oblongata","Neurodegenerative Disorders","2"
"Entire hippocampus","Neurotoxicity Syndromes","2"
"Hypothalamic structure","Nicolaides Baraitser syndrome","2"
"Genus Hippocampus","Andersen Syndrome","2"
"Cerebral cortex","Parkinson Disease, Postencephalitic","2"
"Extrapyramidal system","Neurodegenerative Disorders","2"
"Posterior Hypothalamic Region","Pituitary Diseases","2"
"Genus Hippocampus","Immunoglobulin A deficiency (disorder)","2"
"Cerebellum","Creutzfeldt-Jakob Disease, Sporadic","2"
"Brodmann area 9","Nail-Patella Syndrome","2"
"Neostriatum","Lung diseases","2"
"Medulla Oblongata","Disorder nervous system","2"
"Cerebral cortex","Machado-Joseph Disease","2"
"Genus Hippocampus","Occlusion of artery (disorder)","2"
"Medial Septal Nucleus","Neurotoxicity Syndromes","2"
"central amygdalar nucleus","Hamartoma Syndrome, Multiple","2"
"Substantia nigra structure","Liver diseases","2"
"Structure of pars magnocellularis of dorsomedial nucleus of thalamus","Neurotoxicity Syndromes","2"
"Inferior Colliculus","Diseases of inner ear","2"
"Hypothalamic structure","Inflammatory Bowel Diseases","2"
"Structure of lateral globus pallidus","Functional disorder","2"
"Globus Pallidus","Autistic Disorder","2"
"Anterodorsal nucleus of thalamus","Recurrent disease","2"
"Thalamic structure","Eosinophilic disorder","2"
"Pineal gland","Acute infectious disease","2"
"Area striata structure","Accommodation phosphene (disorder)","2"
"Structure of choroid plexus","cortex bone disorders","2"
"Genus Hippocampus","Dyskinetic syndrome","2"
"Basal Forebrain","Rothmund-Thomson syndrome","2"
"Prefrontal Cortex","Retinal Diseases","2"
"Basal Forebrain","Fetal Alcohol Spectrum Disorders","2"
"Temporal Lobe","Rett Syndrome","2"
"Basal Ganglia","Recurrent disease","2"
"BRAIN, HIPPOCAMPUS","Fragile X Tremor Ataxia Syndrome","2"
"Linear nucleus","Liver diseases","2"
"Midbrain structure","Meningeal disorder","2"
"Structure of angular gyrus","Autism Spectrum Disorders","2"
"BRAIN, HIPPOCAMPUS","Spastic syndrome","2"
"Basal Nucleus of Meynert","Behavior Disorders","2"
"Dorsal Septal Nucleus","Developmental delay (disorder)","2"
"Amygdaloid Nucleus, Cortical","Functional disorder","2"
"Dorsal Motor Nucleus","Gastroesophageal reflux disease","2"
"Nuclei, Raphe","Autistic Disorder","2"
"Area striata structure","Sensitization (disorder)","2"
"Corpus striatum structure","Lung diseases","2"
"Pars Compacta","Eosinophilic disorder","2"
"Cerebellar cortex structure","Autism Spectrum Disorders","2"
"Cerebral white matter structure","Mild cognitive disorder","2"
"Cerebral hemisphere structure (body structure)","Renal tubular disorder","2"
"Structure of olfactory bulb","Van der Woude syndrome","2"
"Corpus Callosum","Depressive disorder","2"
"Superior colliculus of corpora quadrigemina","Hamartoma Syndrome, Multiple","2"
"Purkinje Cells","Renal tubular disorder","2"
"Lateral ventricle structure","Niemann-Pick Disease, Type C","2"
"Structure of ansa lenticularis","Neuromuscular Diseases","2"
"Brain Stem","Renal glomerular disease","2"
"Structure of area postrema","Parkinson Disease","2"
"Paratenial Nucleus","Meckel syndrome type 1","2"
"Caudate nucleus structure","Sensitization (disorder)","2"
"Visual Cortex","Migraine Disorders","2"
"Anterodorsal nucleus of thalamus","Christ-Siemens-Touraine syndrome","2"
"Structure of optic radiation","Retinal Diseases","2"
"Brain Stem","Liver regeneration (disorder)","2"
"Temporal Lobe","Norrie disease","2"
"Marginal Sulcus","Disorder nervous system","2"
"External capsule","Functional disorder","2"
"Substantia nigra structure","Behavior Disorders","2"
"Tract, Extrapyramidal","Neurodegenerative Disorders","2"
"BRAIN, HIPPOCAMPUS","Cardio-facio-cutaneous syndrome","2"
"Corpus striatum structure","Bipolar Disorder","2"
"Genus Hippocampus","Generalized Anxiety Disorder","2"
"Parietal Lobe","Recurrent disease","2"
"Structure of thalamic reticular nucleus","Prune Belly Syndrome","2"
"Interpeduncular nucleus","Li-Fraumeni Syndrome","2"
"Corpus Callosum","Autism Spectrum Disorders","2"
"Medulla Oblongata","Dysequilibrium syndrome","2"
"Midbrain structure","Pervasive Development Disorder","2"
"Pyramidal Cells","Gardner Syndrome","2"
"Prefrontal Cortex","Toxic Shock Syndrome","2"
"Caudate nucleus structure","Syndrome","2"
"Accessory cuneate nucleus","Spinal Cord Diseases","2"
"Lateral geniculate complex","Disorder of pineal gland","2"
"Medulla Oblongata","Virus Diseases","2"
"Basal Nucleus of Meynert","Mesulam Syndrome","2"
"Lateral superior olivary nucleus","Herpes zoster disease","2"
"Inferior olivary nucleus","neuropathology disease","2"
"Metencephalon","Spinal Cord Diseases","2"
"Precentral gyrus","Restless Legs Syndrome","1"
"Structure of locus ceruleus","Gardner Syndrome","1"
"Tectospinal tract of medulla","Alzheimer's Disease","1"
"Structure of spiral ganglion","Virus Diseases","1"
"Structure of endopeduncular nucleus","DISORDERS OF THE OPTIC NERVE","1"
"Rostrotemporal auditory area","Retinal Diseases","1"
"Structure of locus ceruleus","Chronic disease","1"
"Purkinje Cells","Prune Belly Syndrome","1"
"Caudate nucleus structure","Hypertensive disease","1"
"Hair Cells, Vestibular","Diseases of inner ear","1"
"Basal Forebrain","Neurotoxicity Syndromes","1"
"Structure of supramammillary nucleus","Sweet Syndrome","1"
"Claustral structure","Parkinson Disease","1"
"Entire cerebellum","Neurodegenerative Disorders","1"
"Nucleus of Diagonal Band","Functional disorder","1"
"Motor Cortex","Acute infectious disease","1"
"Lentiform nucleus structure","Depressive disorder","1"
"Structure of supramarginal gyrus","Ovarian Diseases","1"
"Superior temporal gyrus","Functional disorder","1"
"Entire Brodmann areas 17 (striate cortex), 18 (parastriate cortex) and 19 (peristriate cortex) of occipital lobe","Liver diseases","1"
"Caudate nucleus structure","Prune Belly Syndrome","1"
"Corticotroph","Pituitary-dependent Cushing's disease","1"
"Entire medulla oblongata","Diseases of inner ear","1"
"Temporal Lobe","Hamartoma Syndrome, Multiple","1"
"Brain Stem","Lafora Disease","1"
"Brodmann area","Lewy Body Disease","1"
"Cerebral hemisphere structure (body structure)","Nijmegen Breakage Syndrome","1"
"Internal capsule of brain","Creutzfeldt-Jakob disease","1"
"Structure of locus ceruleus","Fragile X Syndrome","1"
"Entire Brodmann areas 17 (striate cortex), 18 (parastriate cortex) and 19 (peristriate cortex) of occipital lobe","Hypertrophic disorder of skin, unspecified","1"
"Brain White Matter","Mild cognitive disorder","1"
"Cingulate Cortex","Renal glomerular disease","1"
"Occipital lobe","Neoplastic disease","1"
"Submedial Nucleus","Bone Diseases","1"
"Structure of hippocampal fissure","Dysequilibrium syndrome","1"
"Globus Pallidus","Stereotypic Movement Disorder","1"
"CA1 field","Stress Disorders, Traumatic","1"
"Amygdaloid structure","Nose Diseases","1"
"Structure of trigeminal nerve spinal tract nucleus","Peripheral Arterial Diseases","1"
"Preoptic Areas","Dysequilibrium syndrome","1"
"Pontine structure","Hypertensive disease","1"
"Entire medulla oblongata","Eosinophilic disorder","1"
"Lateral habenular nucleus","Attention Deficit Disorder","1"
"Corpus striatum structure","Sequela of disorder","1"
"Paracentral Thalamic Nucleus","Peripheral Arterial Diseases","1"
"Bundle, Predorsal","Motor Neuron Disease","1"
"Structure of inferior brachium of corpora quadrigemina","Alzheimer's Disease","1"
"Entire internal capsule of brain","Creutzfeldt-Jakob disease","1"
"Ependyma","Pituitary Diseases","1"
