"brainregion","disease","count"
"Gonadotrophs","Pituitary Diseases","52"
"Cerebellum","Alzheimer's Disease","52"
"Substantia nigra structure","Parkinsonian Disorders","52"
"Anterodorsal nucleus of thalamus","Parkinson Disease","52"
"Substantia nigra structure","Functional disorder","52"
"Insula of Reil","cortex bone disorders","51"
"Amygdaloid structure","Functional disorder","51"
"Thalamic structure","Parkinson Disease","51"
"Amygdaloid structure","Depressive disorder","51"
"Cerebellar Nuclei","cortex bone disorders","51"
"CA2 field","Depressive disorder","50"
"Nucleus Accumbens","Depressive disorder","50"
"Hypothalamic Area, Lateral","Pituitary Diseases","50"
"Amygdaloid structure","Spinal Cord Diseases","50"
"Caudate nucleus structure","cortex bone disorders","49"
"Set of basolateral nuclei of amygdala","cortex bone disorders","49"
"Globus Pallidus","cortex bone disorders","49"
"Pontine structure","cortex bone disorders","49"
"Basal Ganglia","Movement Disorders","49"
"Anterodorsal nucleus of thalamus","neuropathology disease","48"
"Telencephalon","cortex bone disorders","48"
"Cerebral cortex","Migraine Disorders","48"
"BRAIN, HIPPOCAMPUS","Major Depressive Disorder","48"
"BRAIN, HIPPOCAMPUS","neuropathology disease","48"
"Basal Ganglia","Huntington Disease","47"
"CA2 field","cortex bone disorders","47"
"Hypothalamic structure","Liver diseases","47"
"Reticular Formation","Spinal Cord Diseases","46"
"Entire lateral geniculate body","cortex bone disorders","46"
"Olfactory Nerve","Renal glomerular disease","46"
"Prefrontal Cortex","Autistic Disorder","46"
"Cerebral hemisphere structure (body structure)","Disease Progression","45"
"BRAIN, HIPPOCAMPUS","Liver diseases","45"
"BRAIN, HIPPOCAMPUS","Cognition Disorders","45"
"BRAIN, HIPPOCAMPUS","Retinal Diseases","45"
"Structure of angular gyrus","Hypertensive disease","45"
"Basal Forebrain","Functional disorder","44"
"Orbitofrontal cortex","cortex bone disorders","44"
"Anterodorsal nucleus of thalamus","Mild cognitive disorder","44"
"BRAIN, HIPPOCAMPUS","Mood Disorders","44"
"Amygdaloid structure","Alzheimer's Disease","44"
"Basal Ganglia","Neurodegenerative Disorders","43"
"Pituitary Gland, Posterior","Pituitary Diseases","43"
"Pineal gland","Disorder of pineal gland","43"
"Cerebral cortex","Down Syndrome","42"
"Structure of entorhinal cortex","Alzheimer's Disease","42"
"lateral geniculate nucleus","Retinal Diseases","42"
"BRAIN, HIPPOCAMPUS","Psychotic Disorders","42"
"Cerebral cortex","Bipolar Disorder","42"
"Bundle, Predorsal","Functional disorder","42"
"Cerebellum","Machado-Joseph Disease","41"
"Genus Hippocampus","Retinal Diseases","41"
"Substantia nigra structure","Neurotoxicity Syndromes","40"
"Cerebral cortex","Lewy Body Disease","40"
"CA2 field","Alzheimer's Disease","40"
"Genus Hippocampus","Disease Progression","40"
"Cerebral cortex","Fragile X Syndrome","40"
"BRAIN, HIPPOCAMPUS","Bipolar Disorder","40"
"Claustral structure","cortex bone disorders","39"
"Hypothalamic structure","Functional disorder","39"
"Substantia innominata","cortex bone disorders","39"
