"disease"
"Celiac Disease"
"Central Nervous System Viral Diseases"
"Central pain syndrome"
"Cerebellar Diseases"
"Cerebral Small Vessel Diseases"
"Cerebral disorder"
"Cerebrovascular Disorders"
"Charcot-Marie-Tooth disease, type IA (disorder)"
"Chediak-Higashi Syndrome"
"Chimera (disorder)"
"Cholestasis-edema syndrome, Norwegian type"
"Chorea Acanthocytosis Syndrome"
"Christ-Siemens-Touraine syndrome"
"Chromosome 11p11.2 Deletion Syndrome"
"Chronic Fatigue Syndrome"
"Chronic Kidney Diseases"
"Chronic Obstructive Airway Disease"
"Chronic disease"
"Chronic granulomatous disease"
"Chronic infectious disease"
"Chronic inflammatory disorder"
"Chronic liver disease"
"Chronic lung disease"
"Chronic metabolic disorder"
"Chronic myeloproliferative disorder"
"Chronic pelvic inflammatory disease of the female pelvic organs AND/OR tissues"
"Chylomicron retention disease"
"Clinically isolated syndrome"
"Cockayne Syndrome"
"Cockayne Syndrome, Type I"
"Coffin-Lowry syndrome"
"Coffin-Siris syndrome"
"Cognition Disorders"
"Cohen syndrome"
"Colonic Diseases"
"Communicable Diseases"
"Complex Regional Pain Syndromes"
"Compulsive Personality Disorder"
"Conduct Disorder"
"Congenital Disorders"
"Congenital Disorders of Glycosylation"
"Congenital absence of kidneys syndrome"
"Congenital chromosomal disease"
"Congenital heart disease"
"Congenital infectious disease"
"Congenital ocular coloboma (disorder)"
"Congenital secretory diarrhea, sodium type (disorder)"
"Conjunctival Diseases"
"Contact lens overwear syndrome (disorder)"
"Conversion disorder"
"Coprophilia (disorder)"
"Corneal Diseases"
"Cornelia De Lange Syndrome"
"Coronary Artery Disease"
"Coronary heart disease"
"Costello syndrome (disorder)"
"Cranial Nerve Diseases"
"Creutzfeldt-Jakob Disease, Sporadic"
"Creutzfeldt-Jakob disease"
"Cumulative Trauma Disorders"
"Cushing Syndrome"
"Cyclical vomiting syndrome (disorder)"
"Cyclothymic Disorder"
"DISORDERS OF THE OPTIC NERVE"
"Dandy-Walker Syndrome"
"Degenerative brain disorder"
"Degenerative disorder"
"Deglutition Disorders"
"Dejerine-Roussy Syndrome"
"Delirium, Dementia, Amnestic, Cognitive Disorders"
"Dementia associated with Parkinson's Disease"
"Dementia due to Alzheimer's disease (disorder)"
"Demyelinating Diseases"
"Demyelinating disease of central nervous system"
"Denys-Drash Syndrome"
"Depressive disorder"
"Developmental Coordination Disorder"
"Developmental delay (disorder)"
"Developmental reading disorder"
"DiGeorge Syndrome"
"Disease Progression"
"Disease complication"
"Disease due to Parvoviridae"
"Disease of capillaries"
"Disease of diaphragm"
"Disease of thymus gland"
"Diseases of external ear"
"Diseases of inner ear"
"Disorder characterized by fever"
"Disorder nervous system"
"Disorder of circulatory system"
"Disorder of endocrine ovary"
"Disorder of eye"
"Disorder of middle ear"
"Disorder of olfactory system"
"Disorder of pineal gland"
"Disorder periosteal"
"Disorders, Mental"
"Disruptive Behavior Disorder"
"Down Syndrome"
"Drug effect disorder"
"Drug withdrawal syndrome"
"Dry Eye Syndromes"
"Duane Retraction Syndrome"
"Dysequilibrium syndrome"
"Dysexecutive syndrome"
"Dyskinetic syndrome"
"Dystonia Disorders"
"Déjérine-Sottas disease (disorder)"
"Ear Diseases"
"Eating Disorders"
"Ehlers-Danlos Syndrome"
"Elimination Disorders"
"Empty Sella Syndrome"
"Endocrine System Diseases"
"Eosinophilic disorder"
"Esophageal Diseases"
"Exceptionally large baby (disorder)"
"Extrapyramidal Disorders"
"FOXG1 syndrome"
"Fabry Disease"
"Familial Alzheimer Disease (FAD)"
"Familial Atypical Mole Melanoma Syndrome"
"Familial disease"
"Fechtner syndrome (disorder)"
"Feline urological syndrome"
"Fetal Alcohol Spectrum Disorders"
"Fetal Alcohol Syndrome"
"Finnish congenital nephrotic syndrome"
"Fish-Eye Disease"
"Floppy infant syndrome"
"Foodborne Disease"
"Fragile X Syndrome"
"Fragile X Tremor Ataxia Syndrome"
"Freeman-Sheldon syndrome"
"Fucosidase Deficiency Disease"
"Functional disorder"
"Gardner Syndrome"
"Gastroesophageal reflux disease"
"Gastrointestinal Diseases"
"Gaucher Disease"
"General Adaptation Syndrome"
"Generalized Anxiety Disorder"
"Genetic syndrome"
"Gerstmann Syndrome"
"Gerstmann-Straussler-Scheinker Disease"
"Gilles de la Tourette syndrome"
"Glycogen Storage Disease Type IIb"
"Glycogen storage disease type II"
"Greig cephalopolysyndactyly syndrome"
"Griscelli syndrome type 2"
"Growth Disorders"
"Guillain-Barre Syndrome"
"Hair Diseases"
"Hallermann's Syndrome"
"Hallervorden-Spatz Syndrome"
"Hamartoma Syndrome, Multiple"
"Hashimoto Disease"
"Headache Disorders, Primary"
"Heart Diseases"
"Hemiplegia-hemiconvulsion-epilepsy syndrome"
"Hemolytic-Uremic Syndrome"
"Hereditary Diseases"
"Hereditary Neurodegenerative Disorder"
"Heredodegenerative Disorders, Nervous System"
"Herpes zoster disease"
"High Pressure Neurological Syndrome"
"Hirschsprung Disease"
"Hodgkin Disease"
"Horner Syndrome"
"Huntington Disease"
"Hyperhidrosis (disorder)"
"Hyperphosphatemia (disorder)"
"Hypertensive disease"
"Hypertrophic disorder of skin, unspecified"
"Hypopigmentation disorder"
"Hypoplastic enamel-onycholysis-hypohidrosis syndrome"
"Hyposmolality syndrome"
"Idiopathic Hypereosinophilic Syndrome"
"Idiopathic disease"
"Idiopathic pneumonia syndrome"
"Immune Reconstitution Inflammatory Syndrome"
"Immune System Diseases"
"Immunoglobulin A deficiency (disorder)"
"Immunologic Deficiency Syndromes"
"Impulse Control Disorders"
"Inappropriate ADH Syndrome"
"Inclusion body myositis (disorder)"
"Infectious disorder of the fetus"
"Inflammatory Bowel Diseases"
"Inflammatory disorder"
"Intervertebral disc disorder"
"Iodine deficiency syndrome"
"Iron Metabolism Disorders"
"Irritable Bowel Syndrome"
"Jet Lag Syndrome"
"Junctional premature complex (disorder)"
"Juvenile polyposis syndrome"
"Kallmann Syndrome"
"Kartagener Syndrome"
"Kidney Diseases"
"Klein's Syndrome"
"Klinefelter Syndrome"
"Kluver-Bucy Syndrome"
"Labyrinthine disorder"
"Lafora Disease"
"Lambert-Eaton Myasthenic Syndrome"
"Landau-Kleffner Syndrome"
"Langer-Giedion Syndrome"
"Language Disorders"
"Laryngeal Diseases"
"Late effects of cerebrovascular disease, disturbances of vision"
"Lateral Medullary Syndrome"
"Learning Disorders"
"Legg-Calve-Perthes Disease"
"Leigh Disease"
"Lennox-Gastaut syndrome"
"Lens Diseases"
"Lesch-Nyhan Syndrome"
"Lewy Body Disease"
"Lhermitte-Duclos disease"
"Li-Fraumeni Syndrome"
"Lichen disease"
"Liver diseases"
"Liver regeneration (disorder)"
"Locked-In Syndrome"
"Long QT Syndrome"
"Lubs X-linked mental retardation syndrome"
"Lung Diseases, Interstitial"
"Lung diseases"
"Lupus anticoagulant disorder"
"Lysosomal Storage Diseases"
"MELAS Syndrome"
"MERRF Syndrome"
"Machado-Joseph Disease"
"Macrophage Activation Syndrome"
"Major Depressive Disorder"
"Malignant disease"
"Mannosidase Deficiency Diseases"
"Maple Syrup Urine Disease"
"Marchiafava-Bignami Disease"
"Marfan Syndrome"
"Mastitis-metritis-agalactia syndrome"
"McCune-Albright Syndrome"
"Meckel syndrome type 1"
"Meconium Aspiration Syndrome"
"Meige Syndrome"
"Meleda Disease"
"Melkersson-Rosenthal Syndrome"
"Memory Disorders"
"Meniere Disease"
"Meningeal disorder"
"Menkes Kinky Hair Syndrome"
"Mesulam Syndrome"
"Metabolic Diseases"
"Metabolic Syndrome X"
"Microdeletion syndromes"
"Middle East Respiratory Syndrome"
"Migraine Disorders"
"Mild cognitive disorder"
"Millard-Gubler syndrome"
"Milroy Disease"
"Minamata Disease"
"Miosis (disorder)"
"Mirror movements (disorder)"
"Mitochondrial Diseases"
"Mitral Valve Prolapse Syndrome"
"Mixed anxiety and depressive disorder"
"Mobius Syndrome"
"Mohr-Tranebjaerg syndrome"
"Monster NOS (disorder)"
"Mood Disorders"
"Motor Neuron Disease"
"Motor Neuron Disease, Lower"
"Motor Neuron Disease, Upper"
"Motor speech disorder"
"Movement Disorders"
"Mowat-Wilson syndrome"
"Moyamoya Disease"
"Muckle-Wells Syndrome"
"Mucocutaneous Lymph Node Syndrome"
"Multisystem disorder"
"Myeloproliferative Syndrome, Transient"
"Nail-Patella Syndrome"
"Narcolepsy-Cataplexy Syndrome"
"Nasopharyngeal Diseases"
"Neonatal Abstinence Syndrome"
"Neonatal maladjustment syndrome"
"Neoplastic disease"
"Neu-Laxova syndrome"
"Neurodegenerative Disorders"
"Neurodevelopmental disorder"
"Neuroleptic Malignant Syndrome"
"Neuromuscular Diseases"
"Neurotoxicity Syndromes"
"New Variant Creutzfeldt-Jakob Disease"
"Nicolaides Baraitser syndrome"
"Nicotine Use Disorder"
"Niemann-Pick Disease, Type C"
"Niemann-Pick Diseases"
"Niemann-Pick disease, type C2"
"Nijmegen Breakage Syndrome"
"Non-Neoplastic Disorder"
"Non-alcoholic Fatty Liver Disease"
"Noonan Syndrome"
"Norrie disease"
"Nose Diseases"
"Nystagmus associated with disorder of the vestibular system"
"OTHER MENTAL DISORDERS"
"Obesity Hypoventilation Syndrome"
"Obsessive-Compulsive Disorder"
"Occlusion of artery (disorder)"
"Ocular Motility Disorders"
"Oculorespiratory syndrome"
"Olmsted syndrome"
"Opiate Withdrawal Syndrome"
"Opitz-Frias syndrome"
"Oppositional Defiant Disorder"
"Opsoclonus-Myoclonus Syndrome"
"Organic psychosyndrome"
"Oropharyngeal disorders"
"Other affective disorders"
"Ovarian Diseases"
"Pain Disorder"
"Pallister-Hall syndrome"
"Pancreatic Diseases"
"Panic Disorder"
"Panic disorder with agoraphobia"
"Papillon-Lefevre Disease"
"Paramyotonia congenita (disorder)"
"Paraneoplastic Syndromes, Nervous System"
"Parasitic Diseases"
"Parathyroid Diseases"
"Parkinson Disease"
"Parkinson Disease, Postencephalitic"
"Parkinsonian Disorders"
"Pelizaeus-Merzbacher Disease"
"Pelvic Inflammatory Disease"
"Pendred's syndrome"
"Penile Diseases"
"Perceptual Disorders"
"Peripheral Arterial Diseases"
"Peroxisomal Disorders"
"Pervasive Development Disorder"
"Phantom limb syndrome"
"Phobic anxiety disorder"
"Phytobezoar (disorder)"
"Pica Disease"
"Pick Disease of the Brain"
"Pigment dispersion syndrome (disorder)"
"Pili torti-deafness syndrome"
"Pituitary Diseases"
"Pituitary-dependent Cushing's disease"
"Placenta Disorders"
"Pleural Diseases"
"Polycystic Kidney Diseases"
"Polycystic Ovary Syndrome"
"Polyglandular Type I Autoimmune Syndrome"
"Pontine one and a half syndrome"
"Popliteal pterygium syndrome"
"Post-Concussion Syndrome"
"Post-Traumatic Stress Disorder"
"Posterior reversible encephalopathy syndrome"
"Postural Orthostatic Tachycardia Syndrome"
"Prader-Willi Syndrome"
"Prediabetes syndrome"
"Premature aging syndrome"
"Premenstrual Dysphoric Disorder"
"Premenstrual syndrome"
"Primary Sjögren's syndrome"
"Prion Diseases"
"Prostatic Diseases"
"Prune Belly Syndrome"
"Psychotic Disorders"
"Pyramidal tract syndrome"
"Pyruvate Dehydrogenase Complex Deficiency Disease"
"Rabies (disorder)"
"Rare Diseases"
"Rasmussen Syndrome"
"Reactive Attachment Disorder"
"Rectal Diseases"
"Recurrent disease"
"Renal glomerular disease"
"Renal tubular disorder"
"Renal vascular disorder"
"Respiration Disorders"
"Respiratory Distress Syndrome, Adult"
"Respiratory Distress Syndrome, Newborn"
"Restless Legs Syndrome"
"Retinal Diseases"
"Rett Syndrome"
"Rothmund-Thomson syndrome"
"Rubinstein-Taybi Syndrome"
"Russell-Silver syndrome"
"Saethre-Chotzen Syndrome"
"Salivary Gland Diseases"
"Sandhoff Disease"
"Schinzel-Giedion syndrome"
"Schizoaffective Disorder"
"Schizotypal Personality Disorder"
"Seasonal Affective Disorder"
"Sensitization (disorder)"
"Sensorineural hearing loss (disorder)"
"Sensory Disorders"
"Sequela of disorder"
"Severe Acute Respiratory Syndrome"
"Sexually Transmitted Diseases"
"Shared Paranoid Disorder"
"Shprintzen syndrome"
"Shwachman syndrome"
"Shy's disease"
"Shy-Drager Syndrome"
"Sick Sinus Syndrome"
"Skin endocrine disorder"
"Skin-ache syndrome"
"Sleep Apnea Syndromes"
"Sleep Disorders"
"Smith-Lemli-Opitz Syndrome"
"Somatoform pain disorder"
"Sotos' syndrome"
"Spastic syndrome"
"Speech Disorders"
"Speech and language disorder"
"Spinal Cord Diseases"
"Spinal Diseases"
"Stereotypic Movement Disorder"
"Stiff-Person Syndrome"
"Stomach Diseases"
"Stomach function disorder"
"Storage disease"
"Stress Disorders, Traumatic"
"Stress Disorders, Traumatic, Acute"
"Sturge-Weber Syndrome"
"Substance Use Disorders"
"Substance Withdrawal Syndrome"
"Sudden infant death syndrome"
"Susac Syndrome"
"Sweet Syndrome"
"Swine Vesicular Disease"
"Syndrome"
"Syndrome, Bloch-Sulzberger"
"TRAPS - TNF receptor-associated periodic fever syndrome"
"Tangier Disease"
"Tarsal carpal coalition syndrome"
"Taste Disorders"
"Tay-Sachs Disease"
"Temporomandibular Joint Disorders"
"Temporomandibular Joint Dysfunction Syndrome"
"Testicular Diseases"
"Thoracic Outlet Syndrome"
"Thrombocytopenia-Absent Radius Syndrome"
"Thyroid Diseases"
"Tic disorder"
"Timothy syndrome"
"Tolosa-Hunt Syndrome"
"Toxic Shock Syndrome"
"Toxic liver disease"
"Tracheal Diseases"
"Triglyceride storage disease with ichthyosis"
"Tumor Lysis Syndrome"
"Turner Syndrome"
"Urethral Diseases"
"Urologic Diseases"
"Usher Syndrome"
"Usher syndrome type 2"
"Uterine Diseases"
"Vaginal Diseases"
"Vagus Nerve Diseases"
"Van der Woude syndrome"
"Vanishing white matter disease"
"Vascular Diseases"
"Vasodilation disorder"
"Ventricular dilatation (disorder)"
"Virus Diseases"
"Vision Disorders"
"Von Hippel-Lindau Syndrome"
"Wasting Disease, Chronic"
"Werner Syndrome"
"Wernicke-Korsakoff Syndrome"
"Williams Syndrome"
"Wiskott-Aldrich Syndrome"
"Wolfram Syndrome"
"X-linked hydrocephalus syndrome"
"Zellweger Syndrome"
"Zika virus disease (disorder)"
"cortex bone disorders"
"motor disorder"
"neuropathology disease"
"other psychiatric disorders"
"sympathomimetic disorder"
