Order,Scalable Brain ID,Label (provisional),X,Y,Z,UMLS ID,UMLS ID (Boyu),LBD ID,MeSH descriptor name,MeSH descriptor ID,Wikidata,Remarks
134,CG_R_7_1 (23d),cingulate gyrus,4.558,-36.896,31.58,C0018427,C2953800,http://www.linked-neuron-data.org/resource/anterior_cingulate_gyrus,Gyrus Cinguli,https://meshb.nlm.nih.gov/record/ui?ui=D006179,https://www.wikidata.org/wiki/Q66570220,
113,CG_R_7_4 (23v),cingulate gyrus,8.469,-43.892,11.361,C0018427,C2953800,http://www.linked-neuron-data.org/resource/anterior_cingulate_gyrus,Gyrus Cinguli,https://meshb.nlm.nih.gov/record/ui?ui=D006179,https://www.wikidata.org/wiki/Q66570220,
139,CG_R_7_6 (23c),cingulate gyrus,6.35,-20.126,40.437,C0018427,C2953800,http://www.linked-neuron-data.org/resource/anterior_cingulate_gyrus,Gyrus Cinguli,https://meshb.nlm.nih.gov/record/ui?ui=D006179,https://www.wikidata.org/wiki/Q66570220,
85,PCun_L_4_1 (7m),precuneus,-4.843,-63.564,50.805,C0030560,C2953847,missing,Parietal Lobe,https://meshb.nlm.nih.gov/record/ui?ui=D010296,https://www.wikidata.org/wiki/Q66570177,MeSH not specific enough
254,MFG_L_7_1 (9/46d),middle frontal gyrus,-27.249,42.654,30.936,C0152296,C2953918,http://www.linked-neuron-data.org/resource/medial_frontal_gyrus,Prefrontal Cortex,https://meshb.nlm.nih.gov/record/ui?ui=D017397,https://www.wikidata.org/wiki/Q66570161,MeSH not specific enough
14,MFG_L_7_4 (9/46v),middle frontal gyrus,-40.762,40.797,16.153,C0152296,C2953918,http://www.linked-neuron-data.org/resource/medial_frontal_gyrus,Prefrontal Cortex,https://meshb.nlm.nih.gov/record/ui?ui=D017397,https://www.wikidata.org/wiki/Q66570161,MeSH not specific enough
100,IFG_L_6_1 (44d),inferior frontal gyrus,-45.893,13.45,23.773,C0152296,C2953954,http://www.linked-neuron-data.org/resource/prefrontal_cortex,Prefrontal Cortex,https://meshb.nlm.nih.gov/record/ui?ui=D017397,https://www.wikidata.org/wiki/Q1558534,MeSH (+ LBD?) not specific enough
73,IFG_L_6_5 (44op),inferior frontal gyrus,-39.472,22.843,3.724,C0152296,C2953954,http://www.linked-neuron-data.org/resource/prefrontal_cortex,Prefrontal Cortex,https://meshb.nlm.nih.gov/record/ui?ui=D017397,https://www.wikidata.org/wiki/Q1558534,MeSH (+ LBD?) not specific enough
260,IFG_L_6_6 (44v),inferior frontal gyrus,-51.644,13.494,6.311,C0152296,C2953954,http://www.linked-neuron-data.org/resource/prefrontal_cortex,Prefrontal Cortex,https://meshb.nlm.nih.gov/record/ui?ui=D017397,https://www.wikidata.org/wiki/Q1558534,MeSH (+ LBD?) not specific enough
176,SFG_R_7_4 (6dl),superior frontal gyrus,20.186,4.196,63.922,C0152296,C2954080,http://www.linked-neuron-data.org/resource/superior_frontal_gyrus,Prefrontal Cortex,https://meshb.nlm.nih.gov/record/ui?ui=D017397,https://www.wikidata.org/wiki/Q66570158,MeSH not specific enough
218,SFG_R_7_5 (6m),superior frontal gyrus,7.4,-3.715,59.76,C0152296,C2954080,http://www.linked-neuron-data.org/resource/superior_frontal_gyrus,Prefrontal Cortex,https://meshb.nlm.nih.gov/record/ui?ui=D017397,https://www.wikidata.org/wiki/Q66570158,MeSH not specific enough
44,PrG_R_6_2 (6cdl),precentral gyrus,33.109,-6.735,56.53,C0016733,C2954098,http://www.linked-neuron-data.org/resource/precentral_gyrus,Frontal Lobe,https://meshb.nlm.nih.gov/record/ui?ui=D005625,https://www.wikidata.org/wiki/Q66570166,
156,PrG_R_6_6 (6cvl),precentral gyrus,51.192,7.17,30.368,C0016733,C2954098,http://www.linked-neuron-data.org/resource/precentral_gyrus,Frontal Lobe,https://meshb.nlm.nih.gov/record/ui?ui=D005625,https://www.wikidata.org/wiki/Q66570166,
229,PoG_L_4_2 (1/2/3tl),postcentral gyrus,-55.98,-13.982,16.214,C0037658,C2954103,http://www.linked-neuron-data.org/resource/postcentral_gyrus,Somatosensory Cortex,https://meshb.nlm.nih.gov/record/ui?ui=D013003,https://www.wikidata.org/wiki/Q66570169,
115,STG_L_6_1 (38m),superior temporal gyrus,-31.73,13.842,-34.53,C0039485,C2954105,http://www.linked-neuron-data.org/resource/gyrus_temporalis_superior,Temporal Lobe,https://meshb.nlm.nih.gov/record/ui?ui=D013702,https://www.wikidata.org/wiki/Q66570187,
179,STG_L_6_5 (38l),superior temporal gyrus,-44.753,10.797,-19.534,C0039485,C2954105,http://www.linked-neuron-data.org/resource/gyrus_temporalis_superior,Temporal Lobe,https://meshb.nlm.nih.gov/record/ui?ui=D013702,https://www.wikidata.org/wiki/Q66570187,
163,FuG_L_3_1 (20rv),fusiform gyrus,-32.779,-16.187,-32.228,C0039485,C2954150,http://www.linked-neuron-data.org/resource/lateral_occipitotemporal_gyrus,Temporal Lobe,https://meshb.nlm.nih.gov/record/ui?ui=D013702,https://www.wikidata.org/wiki/Q66570193,MeSH not specific enough
57,PCun_L_4_3 (dmPOS),precuneus,-11.987,-66.432,25.23,C0030560,C2954204,missing,Parietal Lobe,https://meshb.nlm.nih.gov/record/ui?ui=D010296,https://www.wikidata.org/wiki/Q66570177,LBD not found
17,MFG_R_7_3 (46),middle frontal gyrus,27.692,54.946,17.105,C0152296,C2954217,http://www.linked-neuron-data.org/resource/medial_frontal_gyrus,Prefrontal Cortex,https://meshb.nlm.nih.gov/record/ui?ui=D017397,https://www.wikidata.org/wiki/Q66570160,MeSH not specific enough
,Cb_Vermis_Crus_I,Cerebellar Crus,,,,C3495416,C3495416,http://www.linked-neuron-data.org/resource/cerebral_crus,Cerebral Crus,https://meshb.nlm.nih.gov/record/ui?ui=D065843,https://www.wikidata.org/wiki/Q66599002,
138,Cb_Vermis_Crus_II,Cerebellar Crus,-0.206,-74.972,-31.28,C3495416,C3495416,http://www.linked-neuron-data.org/resource/cerebral_crus,Cerebral Crus,https://meshb.nlm.nih.gov/record/ui?ui=D065843,https://www.wikidata.org/wiki/Q66599002,
